LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
14.3798596,40.948382,117,CORSO VITTORIO EMANUELE II,,,,,,,689984106b63be3b
14.379881,40.9483573,119,CORSO VITTORIO EMANUELE II,,,,,,,c7e37d31fbcff711
14.3799397,40.948331,121,CORSO VITTORIO EMANUELE II,,,,,,,0a608648d32c811b
14.3799918,40.9483438,123,CORSO VITTORIO EMANUELE II,,,,,,,02a17c6ea76d2a48
14.3800401,40.9483645,125,CORSO VITTORIO EMANUELE II,,,,,,,181318ee9b8fc0a3
14.380287,40.9484706,137,CORSO VITTORIO EMANUELE II,,,,,,,f6eff337e86e45bc
14.3802523,40.9484562,135,CORSO VITTORIO EMANUELE II,,,,,,,f7691811e9d68f1d
14.3802139,40.9484395,133,CORSO VITTORIO EMANUELE II,,,,,,,a75abafd49c75d03
14.3801725,40.9484216,131,CORSO VITTORIO EMANUELE II,,,,,,,e6f2e623aa2ffa10
14.3801312,40.9484034,129,CORSO VITTORIO EMANUELE II,,,,,,,bbff457bbd918c80
14.3800876,40.9483853,127,CORSO VITTORIO EMANUELE II,,,,,,,c7d34b917b184a74
14.3799269,40.948112,152,CORSO VITTORIO EMANUELE II,,,,,,,08e2033b9e5fbebd
14.3799877,40.9481278,154,CORSO VITTORIO EMANUELE II,,,,,,,0f561cf9de8e929f
14.3800507,40.9481672,156,CORSO VITTORIO EMANUELE II,,,,,,,8ae57a18940a7e3d
14.3801408,40.9482143,158,CORSO VITTORIO EMANUELE II,,,,,,,14f10dba7b7512f6
14.3801843,40.9482339,160,CORSO VITTORIO EMANUELE II,,,,,,,5e21d29b7ee84085
14.3802309,40.9482471,162,CORSO VITTORIO EMANUELE II,,,,,,,599d4c641c5ca470
14.3802746,40.9482699,164,CORSO VITTORIO EMANUELE II,,,,,,,4ab44e141066a7cf
14.3803142,40.9482909,166,CORSO VITTORIO EMANUELE II,,,,,,,9c12a5acdbb9e867
14.3803298,40.948493,139,CORSO VITTORIO EMANUELE II,,,,,,,9671462e5fcde38c
14.3803855,40.9485192,141,CORSO VITTORIO EMANUELE II,,,,,,,d0d67f3d222a9baf
14.3804289,40.9485409,143,CORSO VITTORIO EMANUELE II,,,,,,,c4a2dbf9b80c76b9
14.3804698,40.9485603,145,CORSO VITTORIO EMANUELE II,,,,,,,9b8d7ed466e293cd
14.3805142,40.9485842,147,CORSO VITTORIO EMANUELE II,,,,,,,f22e9f4881120b32
14.3805673,40.9486102,149,CORSO VITTORIO EMANUELE II,,,,,,,8ede6627bd6bc428
14.3806996,40.9486764,155,CORSO VITTORIO EMANUELE II,,,,,,,f6c4493b03672f53
14.3806569,40.9486552,153,CORSO VITTORIO EMANUELE II,,,,,,,3b9f25a2b4c17d0f
14.3806133,40.9486319,151,CORSO VITTORIO EMANUELE II,,,,,,,a4237a7f02754c05
14.3807769,40.9487094,157,CORSO VITTORIO EMANUELE II,,,,,,,cd45a0944e9bb7ba
14.3808236,40.9487319,159,CORSO VITTORIO EMANUELE II,,,,,,,f7b1f8b9ccf3316b
14.380871,40.9487526,161,CORSO VITTORIO EMANUELE II,,,,,,,bfee5f4643c70cda
14.3808432,40.948874,163,CORSO VITTORIO EMANUELE II,,,,,,,7b9aa0c73effaa49
14.3808081,40.9489191,165,CORSO VITTORIO EMANUELE II,,,,,,,db6c6d553bf8de04
14.3807906,40.9489434,167,CORSO VITTORIO EMANUELE II,,,,,,,37a4634a356de359
14.3807269,40.9490785,169,CORSO VITTORIO EMANUELE II,,,,,,,dd609fc48b3fde37
14.3805457,40.9484038,172,CORSO VITTORIO EMANUELE II,,,,,,,5dca71dd314e3969
14.3805864,40.9484246,174,CORSO VITTORIO EMANUELE II,,,,,,,d27e5f8e02818438
14.380651,40.9484542,176,CORSO VITTORIO EMANUELE II,,,,,,,52c5309a6db1d622
14.380712,40.9484811,178,CORSO VITTORIO EMANUELE II,,,,,,,be843ca24d2fe39e
14.380771,40.9485083,180,CORSO VITTORIO EMANUELE II,,,,,,,ff3989ad1d4a987c
14.3808144,40.9485275,182,CORSO VITTORIO EMANUELE II,,,,,,,a290f668fbfd30d0
14.3808647,40.9485504,184,CORSO VITTORIO EMANUELE II,,,,,,,d4e14f7292a0fb84
14.3809279,40.9485789,186,CORSO VITTORIO EMANUELE II,,,,,,,c4ee1fd7a16bd9bd
14.3809934,40.948608,188,CORSO VITTORIO EMANUELE II,,,,,,,e03ada83bc60e223
14.3780629,40.9474228,103,CORSO VITTORIO EMANUELE II,,,,,,,5982ab72527575c5
14.3781167,40.9474463,105,CORSO VITTORIO EMANUELE II,,,,,,,7d45dcdecbce2bcb
14.3780065,40.9473942,101,CORSO VITTORIO EMANUELE II,,,,,,,fce3114d6f12b7e7
14.37842,40.9474016,116,CORSO VITTORIO EMANUELE II,,,,,,,9dc274e45ffb2976
14.3783713,40.9473786,114,CORSO VITTORIO EMANUELE II,,,,,,,86269a3fdc3f9263
14.3783329,40.9473603,112,CORSO VITTORIO EMANUELE II,,,,,,,54f92ac67f863270
14.3782677,40.9473182,110,CORSO VITTORIO EMANUELE II,,,,,,,352e9417e6df7283
14.3782066,40.9472891,108,CORSO VITTORIO EMANUELE II,,,,,,,ed89a42a12a8f077
14.3775605,40.9469813,86,CORSO VITTORIO EMANUELE II,,,,,,,fd922146da2f04a9
14.3776275,40.9470141,88,CORSO VITTORIO EMANUELE II,,,,,,,e58a975c27b11ed7
14.3776851,40.9470421,90,CORSO VITTORIO EMANUELE II,,,,,,,abfedf236d0fbb67
14.3777312,40.9470648,92,CORSO VITTORIO EMANUELE II,,,,,,,61846e3eaa3e4a5a
14.3777693,40.9470831,94,CORSO VITTORIO EMANUELE II,,,,,,,e2b08393dc10cdd3
14.3778227,40.9471068,96,CORSO VITTORIO EMANUELE II,,,,,,,85c66b9e94f8250c
14.3778654,40.9471348,98,CORSO VITTORIO EMANUELE II,,,,,,,0aa34aae6dce8b38
14.3779086,40.9471549,100,CORSO VITTORIO EMANUELE II,,,,,,,a63f32ba744bb861
14.3775469,40.9471765,85,CORSO VITTORIO EMANUELE II,,,,,,,7306990388c5a80c
14.3776072,40.9472043,87,CORSO VITTORIO EMANUELE II,,,,,,,8e364245c94115ee
14.3776423,40.9472205,89,CORSO VITTORIO EMANUELE II,,,,,,,994fb39a7ecb5cf7
14.3777232,40.9472607,91,CORSO VITTORIO EMANUELE II,,,,,,,0727eebfea17b16e
14.3777893,40.9472925,93,CORSO VITTORIO EMANUELE II,,,,,,,9d6d4cd77198fcd4
14.3779438,40.947171,102,CORSO VITTORIO EMANUELE II,,,,,,,5a1f11e39b82b1a0
14.3779767,40.9471878,104,CORSO VITTORIO EMANUELE II,,,,,,,c89281524056b223
14.3778955,40.9473404,97,CORSO VITTORIO EMANUELE II,,,,,,,d635e5f5f8bfde04
14.377844,40.947318,95,CORSO VITTORIO EMANUELE II,,,,,,,d20c9d3e8c2f6669
14.3779499,40.9473677,99,CORSO VITTORIO EMANUELE II,,,,,,,d4bc4305ce73285b
14.3769743,40.9467089,66,CORSO VITTORIO EMANUELE II,,,,,,,ff11d6833d1f1666
14.3770403,40.9467413,68,CORSO VITTORIO EMANUELE II,,,,,,,d582282c8982765b
14.3771123,40.9467711,70,CORSO VITTORIO EMANUELE II,,,,,,,c0b5b9d637787032
14.3771802,40.9468068,72,CORSO VITTORIO EMANUELE II,,,,,,,0978f70670a5e860
14.3772322,40.9468308,74,CORSO VITTORIO EMANUELE II,,,,,,,c5a436215c6d72be
14.3772881,40.9468562,76,CORSO VITTORIO EMANUELE II,,,,,,,246c790a651e8652
14.3773644,40.9468902,78,CORSO VITTORIO EMANUELE II,,,,,,,75b06ef36af76c69
14.3775025,40.946955,84,CORSO VITTORIO EMANUELE II,,,,,,,aa53ac7364da5cce
14.3774711,40.9469414,82,CORSO VITTORIO EMANUELE II,,,,,,,85be2ad2ff6d3998
14.3774289,40.9469207,80,CORSO VITTORIO EMANUELE II,,,,,,,464d6431eb9eb88e
14.3768807,40.9468713,65,CORSO VITTORIO EMANUELE II,,,,,,,28cd7c4bebec35e0
14.3769291,40.9468929,67,CORSO VITTORIO EMANUELE II,,,,,,,8bbf3fafe6ea31b9
14.3769902,40.9469219,69,CORSO VITTORIO EMANUELE II,,,,,,,854b491ab5a3d081
14.3770414,40.9469479,71,CORSO VITTORIO EMANUELE II,,,,,,,5f18fd66428f907c
14.3771081,40.946976,73,CORSO VITTORIO EMANUELE II,,,,,,,b8bb949bc6d987d9
14.3771727,40.9470048,75,CORSO VITTORIO EMANUELE II,,,,,,,d9b53c8d1d809c25
14.3772428,40.9470373,77,CORSO VITTORIO EMANUELE II,,,,,,,219d6a5fee8574cd
14.3773106,40.9470686,79,CORSO VITTORIO EMANUELE II,,,,,,,2f84b8bee931f23a
14.3773593,40.9470905,81,CORSO VITTORIO EMANUELE II,,,,,,,1ed86d0cf307b202
14.3775036,40.9471565,83,CORSO VITTORIO EMANUELE II,,,,,,,e29967d254cca379
14.3762733,40.9490524,44,VIA VITTORIO VENETO,,,,,,,8ed9ab2c9c726a12
14.3716268,40.9565497,58,VIA BORIS GIULIANO,,,,,,,18476f5a36fa5ecb
14.374371,40.9501246,67,VIA SAN GIOACCHINO,,,,,,,f9b8045ddb6807f5
14.374428,40.950249,69,VIA SAN GIOACCHINO,,,,,,,118d2f4332a58612
14.374584,40.9501056,68,VIA SAN GIOACCHINO,,,,,,,5b45e0275f19f1e4
